STATION,DATE,SO2,CO,O3,PM10,PM2.5,NOx,NO,NO2
27,2012/1,1.809677419,0.375295699,25.5483871,28.72311828,19.61424731,12.76975806,2.355241935,10.42002688
27,2012/2,1.498132184,0.366738506,24.90804598,25.84626437,18.53735632,15.71479885,3.38204023,12.34482759
27,2012/3,1.689112903,0.384596774,33.47688172,41.98252688,27.15053763,14.85228495,2.363172043,12.49180108
27,2012/4,2.523055556,0.326875,31.95513889,42.19583333,29.33055556,13.11152778,2.322222222,10.79222222
27,2012/5,2.052688172,0.241733871,35.58387097,31.07795699,21.06048387,10.60846774,1.857392473,8.751075269
27,2012/6,1.798055556,0.193902778,29.62527778,20.14583333,13.51805556,8.273888889,1.515416667,6.764027778
27,2012/7,2.355107527,0.170456989,27.05510753,31.78360215,19.37231183,8.734274194,1.681854839,7.05188172
27,2012/8,1.787634409,0.199112903,32.52849462,34.97580645,22.61962366,7.927016129,1.403763441,6.534139785
27,2012/9,2.03625,0.239666667,43.69416667,41.43472222,28.58333333,8.954305556,1.270138889,7.674861111
27,2012/10,2.019489247,0.287392473,48.56518817,48.13575269,30.04032258,9.986693548,1.259005376,8.738306452
27,2012/11,2.140277778,0.375680556,34.19611111,44.9,30.05138889,13.94291667,2.121666667,11.83402778
27,2012/12,2.040188172,0.376693548,27.05994624,36.14784946,24.48655914,13.96370968,2.430913978,11.54932796
67,2012/1,2.735752688,1.858682796,0,54.15860215,29.30913978,133.9489247,93.67069892,40.33064516
67,2012/2,2.730172414,1.793807471,0,52.41091954,27.5933908,133.2514368,91.90359195,41.36781609
67,2012/3,3.13844086,1.763481183,0,75.1155914,34.48252688,125.6303763,81.56774194,44.08064516
67,2012/4,2.987916667,1.814277778,0,71.09027778,33.61944444,126.6333333,80.51472222,46.15694444
67,2012/5,2.248521505,1.756196237,0,57.78225806,28.5766129,107.813172,68.58266129,39.20967742
67,2012/6,2.597638889,1.715388889,0,36.03194444,17.83472222,108.0666667,71.30652778,36.76041667
67,2012/7,2.809811828,1.447889785,0,53.46774194,24.12903226,94.24462366,65.00483871,29.23736559
67,2012/8,2.951209677,1.484569892,0,48.59274194,26.53360215,94.19086022,64.11491935,30.08467742
67,2012/9,2.841527778,1.466013889,0,54.90833333,30.89861111,94.80833333,58.98333333,35.84472222
67,2012/10,2.807526882,1.566196237,0,63.36827957,31.96639785,106.9247312,65.22755376,41.67741935
67,2012/11,4.240694444,1.743875,0,68.29444444,33.91388889,114.5027778,73.4675,41.06944444
67,2012/12,3.719623656,1.748575269,0,66.22311828,31.00268817,120.9408602,82.77634409,38.1733871
68,2012/1,3.916263441,0.804663978,19.15201613,52.81048387,24.58467742,41.36626344,16.73965054,24.61733871
68,2012/2,3.814224138,0.902571839,18.3375,59.6408046,24.56321839,47.55201149,20.4045977,27.16465517
68,2012/3,3.84811828,1.012836022,23.46908602,75.34139785,32.85752688,49.2030914,20.22043011,28.98293011
68,2012/4,3.772638889,1.140736111,23.97847222,63.04722222,32.09861111,50.93930556,21.93583333,29.02083333
68,2012/5,3.734139785,0.937069892,25.4516129,52.9516129,1.525537634,43.47903226,16.61357527,26.88494624
68,2012/6,2.624166667,0.875027778,15.14875,51.29027778,0,37.59069444,17.56986111,20.02722222
68,2012/7,3.958198925,0.938481183,16.77768817,51.14784946,5.287634409,41.27069892,21.27889785,20.0141129
68,2012/8,4.207258065,0.994784946,18.28924731,51.84946237,25.71236559,42.88293011,20.62446237,22.2172043
68,2012/9,5.074444444,1.065638889,29.23777778,63.64583333,30.25694444,44.50819444,16.73652778,27.78569444
68,2012/10,5.806989247,0.844852151,31.83924731,63.25537634,26.20833333,37.46397849,11.43790323,26.00201613
68,2012/11,5.948194444,1.1345,23.55916667,70.40833333,28.64305556,50.63888889,21.41347222,29.23388889
68,2012/12,5.357392473,1.053884409,18.68642473,57.32258065,23.96774194,49.53924731,22.23696237,27.28696237
12,2012/1,2.80577957,0.765053763,16.14112903,35.03494624,28.67876344,42.17862903,15.46438172,26.74166667
12,2012/2,2.531034483,0.846221264,16.58390805,36.30603448,29.35632184,49.03563218,19.3737069,29.70215517
12,2012/3,3.312768817,0.908293011,23.44180108,61.65994624,39.28494624,47.12526882,16.55954301,30.5594086
12,2012/4,3.443333333,0.931097222,22.0375,57.73055556,35.03333333,50.31208333,17.43680556,32.86916667
12,2012/5,2.919892473,0.710887097,26.98534946,31.41666667,24.27016129,35.33924731,9.690188172,25.63508065
12,2012/6,2.390555556,0.753861111,18.0225,33.68888889,25.53194444,38.70833333,13.72166667,24.98888889
12,2012/7,2.927822581,0.574032258,16.72822581,38.53225806,26.63037634,29.53051075,10.77674731,18.76733871
12,2012/8,2.742607527,0.656989247,15.68575269,30.42204301,26.53763441,32.99663978,12.23373656,20.74099462
12,2012/9,2.385694444,0.609333333,26.25291667,35.88333333,28.4125,31.17986111,9.151666667,22.03236111
12,2012/10,2.072715054,0.639502688,28.46827957,46.19758065,31.9422043,32.61505376,7.848521505,24.7594086
12,2012/11,2.664722222,0.804666667,21.22263889,52.875,30.29583333,42.92708333,14.71347222,28.23180556
12,2012/12,2.823252688,0.782889785,16.36317204,38.21505376,23.0766129,44.03521505,16.77379032,27.28615591
35,2012/1,3.32016129,0.347110215,28.92352151,53.58467742,30.12634409,11.44260753,1.57688172,9.876075269
35,2012/2,2.954454023,0.330833333,26.70905172,59.1091954,31.99281609,12.73031609,1.87658046,10.85646552
35,2012/3,3.453225806,0.359516129,34.13212366,76.09946237,40.95430108,14.61491935,2.158064516,12.46115591
35,2012/4,2.665277778,0.287652778,29.44111111,59.35277778,35.16527778,12.13597222,1.978611111,10.14958333
35,2012/5,3.24905914,0.221774194,32.62997312,46.87096774,26.36155914,9.713172043,1.350403226,8.366666667
35,2012/6,2.496666667,0.166180556,26.87444444,30.63611111,14.31805556,6.655555556,1.29,5.374444444
35,2012/7,2.539516129,0.135389785,21.06330645,42.14650538,23.19086022,7.207526882,1.567069892,5.634005376
35,2012/8,2.495430108,0.18311828,26.07728495,49.16666667,27.77553763,6.812768817,1.001747312,5.818817204
35,2012/9,3.330416667,0.257944444,36.81333333,63.18055556,37.09861111,10.13388889,1.787777778,8.340972222
35,2012/10,3.501209677,0.317352151,40.61814516,72.34408602,37.97177419,11.48306452,2.731317204,8.744086022
35,2012/11,3.011111111,0.427541667,26.59680556,74.29583333,43.48888889,17.28847222,4.65625,12.66125
35,2012/12,3.681989247,0.418239247,23.36975806,60.52956989,32.52150538,16.58817204,4.484811828,12.12284946
49,2012/1,7.360080645,0.585389785,18.05026882,93.18682796,49.17741935,35.35752688,9.76344086,25.57432796
49,2012/2,6.509770115,0.579597701,18.52586207,88.00862069,45.97270115,35.10574713,9.485344828,25.62068966
49,2012/3,6.733870968,0.544274194,28.17862903,97.12365591,46.9233871,31.03938172,6.649193548,24.39018817
49,2012/4,5.839444444,0.442041667,23.61444444,66.78888889,27.46805556,23.43,4.230694444,19.23097222
49,2012/5,4.991263441,0.373682796,28.12217742,43.19892473,22.10752688,20.40712366,3.872849462,16.52379032
49,2012/6,4.857638889,0.304625,20.21375,46.81944444,19.09305556,16.66972222,3.309305556,13.36430556
49,2012/7,4.819086022,0.267016129,18.34475806,51.00806452,18.96102151,16.97795699,4.146370968,12.82526882
49,2012/8,3.862365591,0.340443548,20.88319892,42.36693548,21.20698925,18.19032258,3.622043011,14.56465054
49,2012/9,5.246944444,0.372930556,36.49166667,61.62777778,35.04166667,18.91208333,2.721944444,16.20694444
49,2012/10,6.794623656,0.470900538,41.77620968,78.16532258,42.94354839,25.35040323,3.569489247,21.78077957
49,2012/11,7.82375,0.611027778,27.65055556,87.21944444,48.85,34.31513889,7.493055556,26.82916667
49,2012/12,8.013037634,0.608534946,22.13857527,74.43951613,46.02822581,36.92607527,9.103091398,27.82231183
66,2012/1,1.80483871,0.439879032,24.76948925,30.43413978,17.72043011,18.81008065,6.746505376,12.04892473
66,2012/2,1.728017241,0.392859195,26.55890805,20.29741379,11.91954023,16.87528736,5.481752874,11.40991379
66,2012/3,2.036290323,0.391129032,34.14287634,36.44892473,19.72580645,15.34206989,4.185752688,11.13763441
66,2012/4,2.054166667,0.381888889,28.51458333,42.03055556,20.97361111,15.44027778,3.685416667,11.76
66,2012/5,1.873521505,0.307486559,29.05174731,29.83736559,14.62365591,15.30362903,3.856182796,11.45403226
66,2012/6,2.040138889,0.266472222,20.08194444,22.24861111,8.048611111,13.6175,4.240138889,9.375416667
66,2012/7,2.548252688,0.198010753,18.6561828,27.17473118,11.76612903,13.54798387,5.13844086,8.41827957
66,2012/8,2.721370968,0.219986559,16.56478495,29.63709677,12.95967742,12.01115591,4.642069892,7.366532258
66,2012/9,2.231527778,0.251013889,24.14333333,32.16666667,16.15694444,12.57194444,4.319305556,8.247638889
66,2012/10,1.457123656,0.295658602,30.87620968,39.55913978,19.83467742,12.01760753,2.728091398,9.309139785
66,2012/11,2.030277778,0.440111111,19.48208333,40.63333333,19.20833333,19.48680556,5.960138889,13.53305556
66,2012/12,1.909274194,0.434489247,16.62956989,33.375,16.17069892,19.78884409,6.510887097,13.28803763
56,2012/1,4.268888889,0.656291667,19.29083333,84.91944444,52.01666667,28.54819444,6.008333333,22.5175
56,2012/2,4.151867816,0.705431034,21.37600575,82.62068966,51.28448276,31.75086207,7.450143678,24.29181034
56,2012/3,5.1125,0.621989247,31.60793011,94.6922043,52.14247312,27.10026882,6.073387097,21.03709677
56,2012/4,5.425694444,0.474625,30.39916667,58.425,30.2875,19.14708333,3.707083333,15.44833333
56,2012/5,4.436021505,0.427997312,25.28454301,35.16397849,21.15322581,17.75766129,3.572715054,14.19865591
56,2012/6,4.065138889,0.351319444,14.36291667,41.06527778,20.89722222,16.76458333,3.180416667,13.59194444
56,2012/7,4.342069892,0.301908602,14.5719086,38.70564516,19.67607527,13.46586022,3.304032258,10.17352151
56,2012/8,4.878091398,0.435927419,21.6905914,40.29166667,25.50672043,18.39905914,4.130107527,14.27137097
56,2012/9,4.458194444,0.435666667,40.95694444,61.60972222,39.05555556,15.06263889,2.1275,12.96138889
56,2012/10,4.86061828,0.504516129,47.51465054,90.55376344,50.10752688,18.7844086,2.389112903,16.39731183
56,2012/11,5.239444444,0.677569444,31.95652778,94.05833333,51.66388889,26.84194444,4.518194444,22.29736111
56,2012/12,4.46733871,0.679946237,26.1,88.25134409,48.75537634,28.30497312,4.614247312,23.7108871
57,2012/1,5.116263441,0.808387097,17.84771505,86.5094086,58.36693548,38.90981183,11.27849462,27.63508065
57,2012/2,4.969109195,0.773663793,18.1566092,83.86925287,56.02442529,37.6637931,10.34770115,27.31752874
57,2012/3,7.029032258,0.655860215,29.31021505,88.09139785,52.77956989,32.17647849,6.527553763,25.6561828
57,2012/4,7.464583333,0.430430556,25.75569444,49.2875,29.12777778,23.22291667,4.274027778,18.94958333
57,2012/5,5.846774194,0.41813172,29.43104839,42.31048387,27.31854839,21.03561828,4.311424731,16.73696237
57,2012/6,7.781666667,0.314694444,17.98986111,29.89583333,16.70694444,21.96347222,5.109027778,16.86055556
57,2012/7,6.834408602,0.301989247,16.68870968,30.68817204,19.28360215,18.71854839,4.646908602,14.07365591
57,2012/8,6.114919355,0.384596774,19.63266129,36.7594086,24.36155914,21.46357527,5.005913978,16.43413978
57,2012/9,5.645,0.424055556,39.10402778,56.51666667,35.05416667,19.99208333,2.606805556,17.40347222
57,2012/10,6.158198925,0.433172043,46.5952957,80.16666667,43.83064516,22.83723118,2.5375,20.3047043
57,2012/11,6.481111111,0.652902778,30.09430556,79.32777778,48.69305556,33.22236111,6.85375,26.35708333
57,2012/12,6.367607527,0.737916667,24.72271505,80.66397849,48.76075269,36.86424731,7.514112903,29.34274194
36,2012/1,2.536021505,0.643844086,14.62849462,52.83467742,29.07123656,29.20510753,8.97016129,20.26532258
36,2012/2,2.504166667,0.651867816,15.15603448,59.64511494,31.06034483,31.17198276,8.870689655,22.31149425
36,2012/3,2.748655914,0.641169355,21.76908602,78.0766129,38.58198925,28.66639785,6.08844086,22.57325269
36,2012/4,2.325555556,0.486152778,20.83958333,60.49583333,28.02222222,19.39680556,4.00125,15.38180556
36,2012/5,2.235887097,0.38188172,26.97715054,40.36962366,21.47715054,14.70819892,2.440322581,12.27419355
36,2012/6,2.209583333,0.334902778,23.82305556,29.35416667,11.73333333,12.44722222,2.119861111,10.33958333
36,2012/7,2.330510753,0.250833333,22.47204301,35.94892473,18.79569892,10.4530914,2.079973118,8.374731183
36,2012/8,2.003897849,0.318508065,25.56451613,41.09005376,22.77419355,11.25524194,2.122580645,9.159677419
36,2012/9,2.465138889,0.409972222,35.91138889,52.80555556,29.31527778,14.48208333,1.725555556,12.76569444
36,2012/10,2.844086022,0.506787634,36.64166667,69.88037634,37.38844086,20.27876344,2.442607527,17.84153226
36,2012/11,2.710972222,0.694847222,23.04694444,62.52777778,33.98472222,27.64527778,6.6725,20.96069444
36,2012/12,2.601478495,0.662916667,18.04717742,60.46908602,36.58870968,28.9733871,7.51155914,21.44341398
14,2012/1,2.65,0.645551075,19.21451613,43.80913978,27.18548387,32.22311828,9.692607527,22.55766129
14,2012/2,2.767385057,0.696997126,21.42356322,40.74856322,24.47557471,36.9533046,12.18103448,24.77931034
14,2012/3,3.060215054,0.767137097,29.24448925,59.9811828,34.02553763,38.63897849,11.55672043,27.08145161
14,2012/4,2.763611111,0.711055556,28.29277778,49.01666667,28.74305556,35.00194444,9.518888889,25.48138889
